Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Shares
QTWO,Q2 HOLDINGS INC,Information Technology,Equity,147952726.9,0.26,147952726.9,1178249
TTEK,TETRA TECH INC,Industrials,Equity,146315716.2,0.25,146315716.2,1266145
BLD,TOPBUILD CORP,Consumer Discretionary,Equity,146238253.4,0.25,146238253.4,777119
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples,Equity,145201124,0.25,145201124,3076295
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,Utilities,Equity,142050035.6,0.25,142050035.6,2414585
NVRO,NEVRO CORP,Health Care,Equity,140639965.5,0.24,140639965.5,796827
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,Equity,140530588,0.24,140530588,3193877
TGTX,TG THERAPEUTICS INC,Health Care,Equity,139128898.9,0.24,139128898.9,2705209
FOLD,AMICUS THERAPEUTICS INC,Health Care,Equity,136890306.3,0.24,136890306.3,6041055
HELE,HELEN OF TROY LTD,Consumer Discretionary,Equity,132860021,0.23,132860021,593390
HALO,HALOZYME THERAPEUTICS INC,Health Care,Equity,131882522.6,0.23,131882522.6,3125919
NEO,NEOGENOMICS INC,Health Care,Equity,129459277.9,0.22,129459277.9,2461671
YETI,YETI HOLDINGS INC,Consumer Discretionary,Equity,129128603.8,0.22,129128603.8,1877688
APPN,APPIAN CORP CLASS A,Information Technology,Equity,128615768.2,0.22,128615768.2,836199
FRPT,FRESHPET INC,Consumer Staples,Equity,127778829.8,0.22,127778829.8,911079
CLF,CLEVELAND CLIFFS INC,Materials,Equity,127495321.3,0.22,127495321.3,9272387
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Consumer Discretionary,Equity,126957172.3,0.22,126957172.3,950136
SLAB,SILICON LABORATORIES INC,Information Technology,Equity,126560309,0.22,126560309,1016059
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,Equity,125310316.3,0.22,125310316.3,918428
DNLI,DENALI THERAPEUTICS INC,Health Care,Equity,124143768,0.21,124143768,1477902
BRKS,BROOKS AUTOMATION INC,Information Technology,Equity,122607172.7,0.21,122607172.7,1706195
HQY,HEALTHEQUITY INC,Health Care,Equity,122312536.6,0.21,122312536.6,1769824
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,Equity,121780323.8,0.21,121780323.8,1542304
VRNS,VARONIS SYSTEMS INC,Information Technology,Equity,120695459.5,0.21,120695459.5,733711
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Equity,120143931.8,0.21,120143931.8,3216705
NVTA,INVITAE CORP,Health Care,Equity,119157898.1,0.21,119157898.1,2711832
SF,STIFEL FINANCIAL CORP,Financials,Equity,118284053.1,0.2,118284053.1,2357665
SSB,SOUTH STATE CORP,Financials,Equity,117701370.1,0.2,117701370.1,1646864
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care,Equity,117665375.5,0.2,117665375.5,614858
OMCL,OMNICELL INC,Health Care,Equity,116521244,0.2,116521244,996760
EME,EMCOR GROUP INC,Industrials,Equity,116009451.3,0.2,116009451.3,1274409
BBIO,BRIDGEBIO PHARMA INC,Health Care,Equity,115663942.4,0.2,115663942.4,1710499
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,113744536.3,0.2,113744536.3,2714019
SAIA,SAIA INC,Industrials,Equity,112500709.6,0.19,112500709.6,617017
ALRM,ALARM.COM HOLDINGS INC,Information Technology,Equity,111981065.4,0.19,111981065.4,1117241
ESNT,ESSENT GROUP LTD,Financials,Equity,111037623.6,0.19,111037623.6,2594337
KOD,KODIAK SCIENCES INC,Health Care,Equity,110792096.3,0.19,110792096.3,757501
EDIT,EDITAS MEDICINE INC,Health Care,Equity,110442234.4,0.19,110442234.4,1475120
RAMP,LIVERAMP HOLDINGS INC,Information Technology,Equity,110378250.9,0.19,110378250.9,1506459
SAIL,SAILPOINT TECHNOLOGIES HOLDINGS IN,Information Technology,Equity,110326111.2,0.19,110326111.2,2069520
RXN,REXNORD CORP,Industrials,Equity,109985432.1,0.19,109985432.1,2827389
STAG,STAG INDUSTRIAL REIT INC,Real Estate,Equity,109502299.2,0.19,109502299.2,3523240
POWI,POWER INTEGRATIONS INC,Information Technology,Equity,109492418.4,0.19,109492418.4,1383703
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,Equity,108676957.3,0.19,108676957.3,3048442
WMS,ADVANCED DRAINAGE SYSTEMS INC,Industrials,Equity,108600709.5,0.19,108600709.5,1318770
RPD,RAPID7 INC,Information Technology,Equity,108122097.1,0.19,108122097.1,1213764
HASI,HANNON ARMSTRONG SUSTAINABLE INFRA,Financials,Equity,107411483.1,0.19,107411483.1,1722442
EXPO,EXPONENT INC,Industrials,Equity,107136412.5,0.19,107136412.5,1204592
SMTC,SEMTECH CORP,Information Technology,Equity,106866068.6,0.18,106866068.6,1515186
TWST,TWIST BIOSCIENCE CORP,Health Care,Equity,106584508.8,0.18,106584508.8,769230
TPTX,TURNING POINT THERAPEUTICS INC,Health Care,Equity,105445699.5,0.18,105445699.5,876450
PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,Health Care,Equity,105212104.7,0.18,105212104.7,4145473
IRDM,IRIDIUM COMMUNICATIONS INC,Communication,Equity,104924351.7,0.18,104924351.7,2758989
APPS,DIGITAL TURBINE INC,Information Technology,Equity,104552064,0.18,104552064,1977531
ARNA,ARENA PHARMACEUTICALS INC,Health Care,Equity,104544412.5,0.18,104544412.5,1366951
MMS,MAXIMUS INC,Information Technology,Equity,104484971.2,0.18,104484971.2,1435036
ROLL,RBC BEARINGS INC,Industrials,Equity,103070736.1,0.18,103070736.1,577686
GBCI,GLACIER BANCORP INC,Financials,Equity,102779469.1,0.18,102779469.1,2259386
FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,Equity,102381194.1,0.18,102381194.1,970898
ACIW,ACI WORLDWIDE INC,Information Technology,Equity,101751959.3,0.18,101751959.3,2688650
ENV,ENVESTNET INC,Information Technology,Equity,101687541,0.18,101687541,1247853
KNSL,KINSALE CAPITAL GROUP INC,Financials,Equity,100581757,0.17,100581757,497757
JCOM,J2 GLOBAL INC,Information Technology,Equity,100488497.5,0.17,100488497.5,1017502
ASGN,ASGN INC,Industrials,Equity,100168815.2,0.17,100168815.2,1195760
VRNT,VERINT SYSTEMS INC,Information Technology,Equity,99515067.54,0.17,99515067.54,1523734
NEOG,NEOGEN CORP,Health Care,Equity,99209063.25,0.17,99209063.25,1237175
KBR,KBR INC,Information Technology,Equity,99179066.13,0.17,99179066.13,3342739
PRLB,PROTO LABS INC,Industrials,Equity,99155586,0.17,99155586,627567
CCMP,CMC MATERIALS INC,Information Technology,Equity,98315053.2,0.17,98315053.2,681324
GTLS,CHART INDUSTRIES INC,Industrials,Equity,97966030.89,0.17,97966030.89,847677
THC,TENET HEALTHCARE CORP,Health Care,Equity,97931416.31,0.17,97931416.31,2450123
BHVN,BIOHAVEN PHARMACEUTICAL HOLDING CO,Health Care,Equity,97743600.57,0.17,97743600.57,1130899
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,97000000.04,0.17,97000000.04,97000000
AA,ALCOA CORP,Materials,Equity,96821146.96,0.17,96821146.96,4392974
WING,WINGSTOP INC,Consumer Discretionary,Equity,96302512.5,0.17,96302512.5,695325
EBS,EMERGENT BIOSOLUTIONS INC,Health Care,Equity,96089510.42,0.17,96089510.42,1066003
CROX,CROCS INC,Consumer Discretionary,Equity,96043209.31,0.17,96043209.31,1566007
RLI,RLI CORP,Financials,Equity,95590627.08,0.17,95590627.08,931138
QLYS,QUALYS INC,Information Technology,Equity,94946325,0.16,94946325,799548
LPX,LOUISIANA PACIFIC CORP,Materials,Equity,94606807.35,0.16,94606807.35,2581359
NOVT,NOVANTA INC,Information Technology,Equity,94558431,0.16,94558431,803044
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,94051048,0.16,94051048,1022294
HR,HEALTHCARE REALTY TRUST REIT INC,Real Estate,Equity,93257845.37,0.16,93257845.37,3170957
OGS,ONE GAS INC,Utilities,Equity,93224221.8,0.16,93224221.8,1229871
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate,Equity,92511534.72,0.16,92511534.72,510324
PTCT,PTC THERAPEUTICS INC,Health Care,Equity,92236820.85,0.16,92236820.85,1453693
UBSI,UNITED BANKSHARES INC,Financials,Equity,92234634.51,0.16,92234634.51,2922054
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,92018437.52,0.16,92018437.52,1390847
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,Equity,91485455.85,0.16,91485455.85,3220185
QTS,QTS REALTY REIT INC TRUST CLASS A,Real Estate,Equity,91134734.76,0.16,91134734.76,1502386
LPSN,LIVEPERSON INC,Information Technology,Equity,90795522.56,0.16,90795522.56,1474432
MTZ,MASTEC INC,Industrials,Equity,90729447.36,0.16,90729447.36,1329564
PNM,PNM RESOURCES INC,Utilities,Equity,90315529.92,0.16,90315529.92,1861792
SPSC,SPS COMMERCE INC,Information Technology,Equity,90283321.44,0.16,90283321.44,833872
TRNO,TERRENO REALTY REIT CORP,Real Estate,Equity,90159157.5,0.16,90159157.5,1569350
VLY,VALLEY NATIONAL,Financials,Equity,90020746.92,0.16,90020746.92,9357666
CNNE,CANNAE HOLDINGS INC,Financials,Equity,89743914.6,0.16,89743914.6,2025822
AJRD,AEROJET ROCKETDYNE HOLDINGS INC,Industrials,Equity,89694842.58,0.16,89694842.58,1693314
MEDP,MEDPACE HOLDINGS INC,Health Care,Equity,89469495.67,0.15,89469495.67,648941
BKH,BLACK HILLS CORP,Utilities,Equity,89450088.57,0.15,89450088.57,1474371
RDN,RADIAN GROUP INC,Financials,Equity,89219208.26,0.15,89219208.26,4503746
WCC,WESCO INTERNATIONAL INC,Industrials,Equity,88888961.98,0.15,88888961.98,1152307
ENSG,ENSIGN GROUP INC,Health Care,Equity,88101858.5,0.15,88101858.5,1211855
POR,PORTLAND GENERAL ELECTRIC,Utilities,Equity,88046653.53,0.15,88046653.53,2111937
ALLK,ALLAKOS INC,Health Care,Equity,87919531.35,0.15,87919531.35,614607
ITRI,ITRON INC,Information Technology,Equity,87824412,0.15,87824412,939600
DOC,PHYSICIANS REALTY TRUST REIT,Real Estate,Equity,87635244,0.15,87635244,4901300
SFIX,STITCH FIX INC CLASS A,Consumer Discretionary,Equity,87354802.03,0.15,87354802.03,1415111
CDLX,CARDLYTICS INC,Communication,Equity,86982350.88,0.15,86982350.88,615064
BMCH,BMC STOCK HOLDINGS INC,Industrials,Equity,86878371.06,0.15,86878371.06,1579894
CRNC,CERENCE INC,Information Technology,Equity,86872898.97,0.15,86872898.97,864149
WSC,WILLSCOT MOBILE MINI HOLDINGS CORP,Industrials,Equity,86738895.36,0.15,86738895.36,3764709
EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,Equity,86470385.48,0.15,86470385.48,1888412
OVV,OVINTIV INC,Energy,Equity,86439071.16,0.15,86439071.16,6156629
PRG,PROG HOLDINGS INC,Financials,Equity,86337161.52,0.15,86337161.52,1582136
TENB,TENABLE HOLDINGS INC,Information Technology,Equity,85677973.43,0.15,85677973.43,1674379
ORA,ORMAT TECH INC,Utilities,Equity,85352315.19,0.15,85352315.19,939693
BCPC,BALCHEM CORP,Materials,Equity,85245001.8,0.15,85245001.8,754915
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,84916803.75,0.15,84916803.75,891515
JBT,JOHN BEAN TECHNOLOGIES CORP,Industrials,Equity,84901317.36,0.15,84901317.36,734504
AVNT,AVIENT CORP,Materials,Equity,84753980.26,0.15,84753980.26,2144042
WDFC,WD-40,Consumer Staples,Equity,84691987.08,0.15,84691987.08,320548
X,US STEEL CORP,Materials,Equity,84526013.4,0.15,84526013.4,5141485
STMP,STAMPS.COM INC,Consumer Discretionary,Equity,84469844.97,0.15,84469844.97,399177
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,Equity,84357750.51,0.15,84357750.51,4823199
WK,WORKIVA INC CLASS A,Information Technology,Equity,84227479.94,0.15,84227479.94,927922
EGHT,8X8 INC,Information Technology,Equity,83670956.23,0.14,83670956.23,2458741
TRUP,TRUPANION INC,Financials,Equity,83250306.88,0.14,83250306.88,705272
MUSA,MURPHY USA INC,Consumer Discretionary,Equity,83247712,0.14,83247712,634510
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,83132170.24,0.14,83132170.24,1279744
STAA,STAAR SURGICAL,Health Care,Equity,83091886.02,0.14,83091886.02,1076041
BEAM,BEAM THERAPEUTICS INC,Health Care,Equity,82811927.78,0.14,82811927.78,933934
CDNA,CAREDX INC,Health Care,Equity,82531446.12,0.14,82531446.12,1126863
HLI,HOULIHAN LOKEY INC CLASS A,Financials,Equity,81900049.11,0.14,81900049.11,1224399
BCO,BRINKS,Industrials,Equity,81484238.04,0.14,81484238.04,1155477
ENS,ENERSYS,Industrials,Equity,81381905.12,0.14,81381905.12,998306
CVET,COVETRUS INC,Health Care,Equity,81350184.23,0.14,81350184.23,2712577
CIT,CIT GROUP INC,Financials,Equity,81124855,0.14,81124855,2317853
VC,VISTEON CORP,Consumer Discretionary,Equity,81077046.67,0.14,81077046.67,653689
AIMC,ALTRA INDUSTRIAL MOTION CORP,Industrials,Equity,81057697.14,0.14,81057697.14,1514814
LANC,LANCASTER COLONY CORP,Consumer Staples,Equity,79806255,0.14,79806255,445845
INSM,INSMED INC,Health Care,Equity,79672514,0.14,79672514,2378284
BYD,BOYD GAMING CORP,Consumer Discretionary,Equity,79661298.86,0.14,79661298.86,1920938
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,Equity,79626943.55,0.14,79626943.55,1315061
ONEM,1LIFE HEALTHCARE INC,Health Care,Equity,79156162.82,0.14,79156162.82,1844702
VIAV,VIAVI SOLUTIONS INC,Information Technology,Equity,79064336.5,0.14,79064336.5,5360294
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,Equity,78607835.92,0.14,78607835.92,1185281
NJR,NEW JERSEY RESOURCES CORP,Utilities,Equity,78431323.6,0.14,78431323.6,2237060
UFPI,UFP INDUSTRIES INC,Industrials,Equity,78352691.94,0.14,78352691.94,1403667
TNET,TRINET GROUP INCINARY,Industrials,Equity,78212026.2,0.14,78212026.2,967372
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,78201870.7,0.14,78201870.7,2846810
UPWK,UPWORK INC,Industrials,Equity,78187094.45,0.14,78187094.45,2179735
APLS,APELLIS PHARMACEUTICALS INC,Health Care,Equity,77943058.2,0.13,77943058.2,1418436
PRSP,PERSPECTA INC,Information Technology,Equity,77887950.08,0.13,77887950.08,3267112
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,Equity,77716616.33,0.13,77716616.33,2958379
PCH,POTLATCHDELTIC CORP,Real Estate,Equity,77203374.58,0.13,77203374.58,1540678
KWR,QUAKER CHEMICAL CORP,Materials,Equity,77202627.99,0.13,77202627.99,312321
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,77068429.2,0.13,77068429.2,640955
LIVN,LIVANOVA PLC,Health Care,Equity,76821474.28,0.13,76821474.28,1146076
MGNI,MAGNITE INC,Consumer Discretionary,Equity,76448306.66,0.13,76448306.66,2537282
LCII,LCI INDUSTRIES,Consumer Discretionary,Equity,76320693,0.13,76320693,578450
FORM,FORMFACTOR INC,Information Technology,Equity,76263780.84,0.13,76263780.84,1813214
M,MACYS INC,Consumer Discretionary,Equity,75887294.62,0.13,75887294.62,6593162
MIME,MIMECAST LTD,Information Technology,Equity,75844808.75,0.13,75844808.75,1343575
HMSY,HMS HOLDINGS CORP,Health Care,Equity,75777177.84,0.13,75777177.84,2065336
HL,HECLA MINING,Materials,Equity,75368785.05,0.13,75368785.05,12255087
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,Equity,75245623.21,0.13,75245623.21,556427
FGEN,FIBROGEN INC,Health Care,Equity,75145857.45,0.13,75145857.45,1979085
ALE,ALLETE INC,Utilities,Equity,75067906.74,0.13,75067906.74,1223202
MTH,MERITAGE CORP,Consumer Discretionary,Equity,74784375.75,0.13,74784375.75,872121
AMN,AMN HEALTHCARE INC,Health Care,Equity,74780352,0.13,74780352,1094400
CBU,COMMUNITY BANK SYSTEM INC,Financials,Equity,74473801.2,0.13,74473801.2,1195790
FELE,FRANKLIN ELECTRIC INC,Industrials,Equity,74320107.16,0.13,74320107.16,1081964
SR,SPIRE INC,Utilities,Equity,74238061.31,0.13,74238061.31,1178569
VG,VONAGE HOLDINGS CORP,Communication,Equity,73952184.28,0.13,73952184.28,5543642
CNO,CNO FINANCIAL GROUP INC,Financials,Equity,73800748.5,0.13,73800748.5,3303525
SXT,SENSIENT TECHNOLOGIES CORP,Materials,Equity,73786842.52,0.13,73786842.52,1001722
UNF,UNIFIRST CORP,Industrials,Equity,73558144.38,0.13,73558144.38,353458
SYNA,SYNAPTICS INC,Information Technology,Equity,73249447.04,0.13,73249447.04,808136
FCEL,FUELCELL ENERGY INC,Industrials,Equity,73239026.88,0.13,73239026.88,6716096
BAND,BANDWIDTH INC CLASS A,Communication,Equity,73099469,0.13,73099469,451510
SVMK,SVMK INC,Information Technology,Equity,73096044,0.13,73096044,2881200
GKOS,GLAUKOS CORP,Health Care,Equity,72801006.1,0.13,72801006.1,1003045
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,Equity,71910517,0.12,71910517,3542390
NGVT,INGEVITY CORP,Materials,Equity,71817233.75,0.12,71817233.75,973793
CCXI,CHEMOCENTRYX INC,Health Care,Equity,71719476.4,0.12,71719476.4,1166360
KBH,KB HOME,Consumer Discretionary,Equity,71521915.95,0.12,71521915.95,2067705
CNMD,CONMED CORP,Health Care,Equity,71460289.34,0.12,71460289.34,637526
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,Equity,71270465.28,0.12,71270465.28,1011072
SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary,Equity,70813538.12,0.12,70813538.12,824084
UMBF,UMB FINANCIAL CORP,Financials,Equity,70599696.13,0.12,70599696.13,1034731
TGNA,TEGNA INC,Communication,Equity,70597163.49,0.12,70597163.49,5149319
ADNT,ADIENT PLC,Consumer Discretionary,Equity,70563043.02,0.12,70563043.02,2062041
REZI,RESIDEO TECHNOLOGIES INC,Industrials,Equity,70552316.91,0.12,70552316.91,3310761
HOMB,HOME BANCSHARES INC,Financials,Equity,70418072.92,0.12,70418072.92,3659983
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Equity,70063195.14,0.12,70063195.14,908378
BKU,BANKUNITED INC,Financials,Equity,69969316.2,0.12,69969316.2,2060345
APPF,APPFOLIO INC CLASS A,Information Technology,Equity,69949801.22,0.12,69949801.22,386698
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,Equity,69502617.45,0.12,69502617.45,1132887
KMT,KENNAMETAL INC,Industrials,Equity,69501625.28,0.12,69501625.28,1949008
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials,Equity,69468696.8,0.12,69468696.8,1190960
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,Equity,69382042.96,0.12,69382042.96,1272598
AMBA,AMBARELLA INC,Information Technology,Equity,69372159.39,0.12,69372159.39,776583
SEM,SELECT MEDICAL HOLDINGS CORP,Health Care,Equity,69142021.99,0.12,69142021.99,2542921
CMD,CANTEL MEDICAL CORP,Health Care,Equity,69063422.76,0.12,69063422.76,890222
LXP,LEXINGTON REALTY TRUST REIT,Real Estate,Equity,68890569.7,0.12,68890569.7,6438371
TRTN,TRITON INTERNATIONAL LTD,Industrials,Equity,68306890.46,0.12,68306890.46,1418038
HWC,HANCOCK WHITNEY CORP,Financials,Equity,68220204,0.12,68220204,2036424
GATX,GATX CORP,Industrials,Equity,68128370.49,0.12,68128370.49,816789
AWR,AMERICAN STATES WATER,Utilities,Equity,67898423.4,0.12,67898423.4,866604
DIOD,DIODES INC,Information Technology,Equity,67892703.63,0.12,67892703.63,1005371
NWE,NORTHWESTERN CORP,Utilities,Equity,67826517.33,0.12,67826517.33,1192659
NSP,INSPERITY INC,Industrials,Equity,67786295.02,0.12,67786295.02,843218
HI,HILLENBRAND INC,Industrials,Equity,67769414.55,0.12,67769414.55,1739015
ARNC,ARCONIC CORP,Materials,Equity,67500105.66,0.12,67500105.66,2338881
CLDR,CLOUDERA INC,Information Technology,Equity,67396309.86,0.12,67396309.86,4810586
NSTG,NANOSTRING TECHNOLOGIES INC,Health Care,Equity,67166252.44,0.12,67166252.44,1032374
CARG,CARGURUS INC CLASS A,Communication,Equity,67145118.15,0.12,67145118.15,2069187
SWAV,SHOCKWAVE MEDICAL INC,Health Care,Equity,66977515.8,0.12,66977515.8,668772
EXLS,EXLSERVICE HOLDINGS INC,Information Technology,Equity,66255842.56,0.11,66255842.56,778016
BLKB,BLACKBAUD INC,Information Technology,Equity,66241947.98,0.11,66241947.98,1160714
VCYT,VERACYTE INC,Health Care,Equity,66017205.15,0.11,66017205.15,1347015
NUVA,NUVASIVE INC,Health Care,Equity,65947966.62,0.11,65947966.62,1202991
ACIA,ACACIA COMMUNICATIONS INC,Information Technology,Equity,65830855.09,0.11,65830855.09,911911
PZZA,PAPA JOHNS INTERNATIONAL INC,Consumer Discretionary,Equity,65701851.76,0.11,65701851.76,768263
SHOO,STEVEN MADDEN LTD,Consumer Discretionary,Equity,65607420,0.11,65607420,1929630
ROG,ROGERS CORP,Information Technology,Equity,65426283,0.11,65426283,437634
FCFS,FIRSTCASH INC,Financials,Equity,65134017.3,0.11,65134017.3,958135
ARVN,ARVINAS INC,Health Care,Equity,65112297.76,0.11,65112297.76,808246
FN,FABRINET,Information Technology,Equity,65023694.05,0.11,65023694.05,860671
EBC,EASTERN BANKSHARES INC,Financials,Equity,64756124.16,0.11,64756124.16,3891594
CHX,CHAMPIONX CORP,Energy,Equity,64340488.25,0.11,64340488.25,4362067
NTLA,INTELLIA THERAPEUTICS INC,Health Care,Equity,64335860.22,0.11,64335860.22,1177881
BXS,BANCORPSOUTH,Financials,Equity,64333062.12,0.11,64333062.12,2361713
AAON,AAON INC,Industrials,Equity,64312075.2,0.11,64312075.2,963910
DAN,DANA INCORPORATED INC,Consumer Discretionary,Equity,64143060.38,0.11,64143060.38,3392018
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials,Equity,64098795.36,0.11,64098795.36,1298072
AVA,AVISTA CORP,Utilities,Equity,63888011,0.11,63888011,1607650
CSOD,CORNERSTONE ONDEMAND INC,Information Technology,Equity,63863725.24,0.11,63863725.24,1452769
BMI,BADGER METER INC,Information Technology,Equity,63361642.6,0.11,63361642.6,684251
FUL,HB FULLER,Materials,Equity,63350966.25,0.11,63350966.25,1207375
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,Equity,63291701.61,0.11,63291701.61,3113217
PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials,Equity,63177298.81,0.11,63177298.81,999799
FHI,FEDERATED HERMES INC CLASS B,Financials,Equity,63075416.04,0.11,63075416.04,2241486
PDCO,PATTERSON COMPANIES INC,Health Care,Equity,63035929.04,0.11,63035929.04,1992286
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,Equity,63016388.01,0.11,63016388.01,172143
ABG,ASBURY AUTOMOTIVE GROUP INC.,Consumer Discretionary,Equity,62992295.8,0.11,62992295.8,452206
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,Equity,62644808.04,0.11,62644808.04,1160949
SAFM,SANDERSON FARMS INC,Consumer Staples,Equity,62283984.21,0.11,62283984.21,474039
PSB,PS BUSINESS PARKS REIT INC,Real Estate,Equity,62049948.6,0.11,62049948.6,471540
ITGR,INTEGER HOLDINGS CORP,Health Care,Equity,61864508.16,0.11,61864508.16,767169
ACA,ARCOSA INC,Industrials,Equity,61535743.5,0.11,61535743.5,1141665
LTHM,LIVENT CORP,Materials,Equity,61272173.62,0.11,61272173.62,3446129
ESE,ESCO TECHNOLOGIES INC,Industrials,Equity,61234560.8,0.11,61234560.8,599164
RCM,R1 RCM INC,Health Care,Equity,61129480.68,0.11,61129480.68,2559861
NSIT,INSIGHT ENTERPRISES INC,Information Technology,Equity,60869548.74,0.11,60869548.74,815727
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,Equity,60857638.26,0.11,60857638.26,1992719
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,Equity,60288975.9,0.1,60288975.9,1897670
BOX,BOX INC CLASS A,Information Technology,Equity,60180055.19,0.1,60180055.19,3323029
WD,WALKER & DUNLOP INC,Financials,Equity,60146246.16,0.1,60146246.16,667624
CORT,CORCEPT THERAPEUTICS INC,Health Care,Equity,59785948.3,0.1,59785948.3,2295046
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication,Equity,59618225.73,0.1,59618225.73,998463
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples,Equity,59599127,0.1,59599127,2003332
MDC,MDC HOLDINGS INC,Consumer Discretionary,Equity,59583664.5,0.1,59583664.5,1209575
MGEE,MGE ENERGY INC,Utilities,Equity,59497027.14,0.1,59497027.14,857553
SCL,STEPAN,Materials,Equity,59450420.8,0.1,59450420.8,506392
ABM,ABM INDUSTRIES INC,Industrials,Equity,59396778.72,0.1,59396778.72,1574676
PCRX,PACIRA BIOSCIENCES INC,Health Care,Equity,59216852.76,0.1,59216852.76,1000961
